new_bus_id,epe_bus_id,new_station_id,epe_station_id,voltage_V,lon,lat
421,ml_st_215_138,215,ml_st_215,138000.0,-58.83109693,-15.38133648
422,ml_st_216_345,216,ml_st_216,345000.0,-43.97012114,-20.58341461
423,ml_st_217_230,217,ml_st_217,230000.0,-61.8944101,-10.86211644
424,ml_st_217_138,217,ml_st_217,138000.0,-61.8944101,-10.86211644
425,ml_st_217_69,217,ml_st_217,69000.0,-61.8944101,-10.86211644
426,ml_st_218_230,218,ml_st_218,230000.0,-35.87485436,-5.30244556
427,ml_st_219_500,219,ml_st_219,500000.0,-35.8861998,-5.38031869
428,ml_st_220_230,220,ml_st_220,230000.0,-48.90116618,-26.25183066
429,ml_st_220_138,220,ml_st_220,138000.0,-48.90116618,-26.25183066
430,ml_st_221_230,221,ml_st_221,230000.0,-48.8875742,-26.29152065
431,ml_st_221_138,221,ml_st_221,138000.0,-48.8875742,-26.29152065
432,ml_st_221_69,221,ml_st_221,69000.0,-48.8875742,-26.29152065
433,ml_st_222_230,222,ml_st_222,230000.0,-48.96993076,-28.45103525
434,ml_st_222_138,222,ml_st_222,138000.0,-48.96993076,-28.45103525
435,ml_st_222_69,222,ml_st_222,69000.0,-48.96993076,-28.45103525
436,ml_st_223_230,223,ml_st_223,230000.0,-48.97056823,-28.45604273
437,ml_st_224_230,224,ml_st_224,230000.0,-59.89630127,-3.02069092
438,ml_st_224_138,224,ml_st_224,138000.0,-59.89630127,-3.02069092
439,ml_st_225_230,225,ml_st_225,230000.0,-40.47660697,-9.48105512
440,ml_st_225_69,225,ml_st_225,69000.0,-40.47660697,-9.48105512
441,ml_st_226_500,226,ml_st_226,500000.0,-40.51936608,-9.48667469
442,ml_st_226_230,226,ml_st_226,230000.0,-40.51936608,-9.48667469
443,ml_st_227_345,227,ml_st_227,345000.0,-43.40277268,-21.7111134
444,ml_st_227_138,227,ml_st_227,138000.0,-43.40277268,-21.7111134
445,ml_st_228_440,228,ml_st_228,440000.0,-51.633058,-20.783105
446,ml_st_228_138,228,ml_st_228,138000.0,-51.633058,-20.783105
447,ml_st_229_230,229,ml_st_229,230000.0,-49.2303084,-23.20856086
448,ml_st_229_138,229,ml_st_229,138000.0,-49.2303084,-23.20856086
449,ml_st_230_500,230,ml_st_230,500000.0,-52.7659,-1.5524
450,ml_st_230_230,230,ml_st_230,230000.0,-52.7659,-1.5524
451,ml_st_231_230,231,ml_st_231,230000.0,-50.33740375,-27.75630147
452,ml_st_231_138,231,ml_st_231,138000.0,-50.33740375,-27.75630147
453,ml_st_232_230,232,ml_st_232,230000.0,-51.52300672,-28.18543726
454,ml_st_232_138,232,ml_st_232,138000.0,-51.52300672,-28.18543726
455,ml_st_233_500,233,ml_st_233,500000.0,-48.366868,-9.747198
456,ml_st_233_230,233,ml_st_233,230000.0,-48.366868,-9.747198
457,ml_st_234_230,234,ml_st_234,230000.0,-50.55684314,-28.99062877
458,ml_st_234_138,234,ml_st_234,138000.0,-50.55684314,-28.99062877
459,ml_st_235_230,235,ml_st_235,230000.0,-51.98447215,-29.46531939
460,ml_st_235_69,235,ml_st_235,69000.0,-51.98447215,-29.46531939
461,ml_st_236_230,236,ml_st_236,230000.0,-52.48226008,-0.81196887
462,ml_st_236_69,236,ml_st_236,69000.0,-52.48226008,-0.81196887
463,ml_st_237_500,237,ml_st_237,500000.0,-60.01462762,-2.92023876
464,ml_st_237_230,237,ml_st_237,230000.0,-60.01462762,-2.92023876
465,ml_st_237_138,237,ml_st_237,138000.0,-60.01462762,-2.92023876
466,ml_st_238_230,238,ml_st_238,230000.0,-55.54278564,-30.86218262
467,ml_st_238_69,238,ml_st_238,69000.0,-55.54278564,-30.86218262
468,ml_st_239_525,239,ml_st_239,525000.0,-51.14103089,-23.46318446
469,ml_st_239_230,239,ml_st_239,230000.0,-51.14103089,-23.46318446
470,ml_st_240_230,240,ml_st_240,230000.0,-55.93013189,-13.01051913
