new_line_id,epe_line_id,voltage_V,length_km
519,ml_line_519,345000.0,49.62028334
520,ml_line_520,230000.0,139.74094984
521,ml_line_521,230000.0,31.99543122
522,ml_line_522,345000.0,16.39272209
523,ml_line_523,230000.0,33.20836093
524,ml_line_524,230000.0,0.05230028
525,ml_line_525,500000.0,355.18646715
526,ml_line_526,230000.0,0.7060986
527,ml_line_527,500000.0,222.27827959
528,ml_line_528,440000.0,56.76769883
529,ml_line_529,500000.0,171.34814763
530,ml_line_530,500000.0,96.24135375
531,ml_line_531,500000.0,0.732386
532,ml_line_532,500000.0,128.69646531
533,ml_line_533,230000.0,12.02903423
534,ml_line_534,500000.0,181.94494709
535,ml_line_535,230000.0,82.72522413
536,ml_line_536,345000.0,21.34954797
537,ml_line_537,500000.0,142.79940323
538,ml_line_538,500000.0,32.59270233
539,ml_line_539,230000.0,7.19308724
540,ml_line_540,500000.0,416.75310604
541,ml_line_541,230000.0,58.12707145
542,ml_line_542,230000.0,121.44031696
543,ml_line_543,230000.0,138.10649632
544,ml_line_544,230000.0,263.08577073
545,ml_line_545,230000.0,19.41507635
546,ml_line_546,230000.0,116.54266113
547,ml_line_547,500000.0,6.30144029
548,ml_line_548,230000.0,11.14724459
549,ml_line_549,230000.0,11.62474064
550,ml_line_550,230000.0,4.91725133
551,ml_line_551,500000.0,222.02031929
552,ml_line_552,230000.0,5.10706829
553,ml_line_553,345000.0,156.7952869
554,ml_line_554,500000.0,0.81506978
555,ml_line_555,230000.0,47.17313975
556,ml_line_556,230000.0,10.26289556
557,ml_line_557,230000.0,79.09538212
558,ml_line_558,230000.0,16.75143336
559,ml_line_559,440000.0,40.55102809
560,ml_line_560,345000.0,131.61022071
561,ml_line_561,230000.0,37.25174764
562,ml_line_562,230000.0,206.96028818
563,ml_line_563,230000.0,0.28579815
564,ml_line_564,525000.0,78.13393713
565,ml_line_565,230000.0,29.31287664
566,ml_line_566,230000.0,149.82171135
567,ml_line_567,345000.0,231.41569646
568,ml_line_568,230000.0,196.18769151
569,ml_line_569,230000.0,29.88382654
570,ml_line_570,230000.0,84.20677168
571,ml_line_571,230000.0,81.24410599
572,ml_line_572,230000.0,9.18747802
573,ml_line_573,230000.0,4.51677506
574,ml_line_574,500000.0,0.68766383
575,ml_line_575,230000.0,32.60621558
576,ml_line_576,230000.0,3.65443118
577,ml_line_577,230000.0,20.12297141
578,ml_line_578,230000.0,107.63019081
579,ml_line_579,230000.0,55.04037525
580,ml_line_580,230000.0,0.35095468
581,ml_line_581,500000.0,21.07653335
582,ml_line_582,230000.0,1.24940303
583,ml_line_583,500000.0,54.47005701
584,ml_line_584,230000.0,5.77434335
585,ml_line_585,525000.0,2.0724299
586,ml_line_586,230000.0,181.07720965
587,ml_line_587,345000.0,21.35526721
588,ml_line_588,230000.0,43.44077796
589,ml_line_589,230000.0,10.98941427
590,ml_line_590,230000.0,6.72523018
591,ml_line_591,230000.0,228.68805499
592,ml_line_592,230000.0,157.85671244
593,ml_line_593,230000.0,23.04852858
594,ml_line_594,765000.0,322.7059286
595,ml_line_595,230000.0,116.70861476
596,ml_line_596,230000.0,13.62233779
597,ml_line_597,230000.0,264.52603319
598,ml_line_598,230000.0,151.03023211
599,ml_line_599,345000.0,97.20411824
600,ml_line_600,345000.0,30.16959837
601,ml_line_601,500000.0,62.29921294
602,ml_line_602,230000.0,23.08678677
603,ml_line_603,500000.0,135.6142555
604,ml_line_604,230000.0,199.04364716
605,ml_line_605,230000.0,21.93952565
606,ml_line_606,345000.0,8.40974026
607,ml_line_607,230000.0,18.28182238
608,ml_line_608,230000.0,134.67202883
609,ml_line_609,230000.0,101.49635158
610,ml_line_610,230000.0,0.1011645
611,ml_line_611,230000.0,8.69383526
612,ml_line_612,230000.0,96.5791078
613,ml_line_613,230000.0,41.52724948
614,ml_line_614,440000.0,211.28091421
615,ml_line_615,230000.0,85.15349525
616,ml_line_616,345000.0,7.50925857
617,ml_line_617,500000.0,87.72090262
618,ml_line_618,230000.0,168.27252625
619,ml_line_619,230000.0,210.22511435
620,ml_line_620,230000.0,130.00536435
621,ml_line_621,230000.0,50.32056688
622,ml_line_622,230000.0,1.30295442
623,ml_line_623,230000.0,128.54850305
624,ml_line_624,500000.0,269.86636973
625,ml_line_625,500000.0,297.84886618
626,ml_line_626,230000.0,58.51138567
627,ml_line_627,230000.0,22.64109862
628,ml_line_628,230000.0,0.02448464
629,ml_line_629,345000.0,61.01020767
630,ml_line_630,230000.0,22.94439919
631,ml_line_631,230000.0,99.12882921
632,ml_line_632,440000.0,21.24504851
633,ml_line_633,230000.0,16.28580385
634,ml_line_634,230000.0,160.81437036
635,ml_line_635,230000.0,119.74754309
636,ml_line_636,500000.0,29.34010663
637,ml_line_637,230000.0,98.39586795
638,ml_line_638,500000.0,201.4378584
639,ml_line_639,230000.0,0.05773181
640,ml_line_640,500000.0,253.36116258
641,ml_line_641,500000.0,329.36074476
642,ml_line_642,525000.0,33.75892065
643,ml_line_643,230000.0,96.24857108
644,ml_line_644,500000.0,164.75909972
645,ml_line_645,500000.0,94.10532652
646,ml_line_646,500000.0,94.10532652
647,ml_line_647,230000.0,56.83496215
648,ml_line_648,345000.0,46.44693025
649,ml_line_649,230000.0,32.673737
650,ml_line_650,500000.0,111.27175862
651,ml_line_651,230000.0,69.43763948
652,ml_line_652,345000.0,2.13488794
653,ml_line_653,230000.0,25.48401417
654,ml_line_654,230000.0,42.04004633
